time,open,high,low,close,volume
1556236800,0.0099,0.01052,0.00481,0.00545,2251813333.69999981
1556323200,0.00543,0.00586,0.00516,0.00521,440339020
1556409600,0.00521,0.00527,0.00434,0.00442,457183971.5
1556496000,0.00442,0.00456,0.00343,0.00347,520557584.60000002
1556582400,0.00346,0.00516,0.00346,0.00442,1165706893.79999995
1556668800,0.00442,0.00464,0.00402,0.00432,650430750
1556755200,0.00432,0.00468,0.0041,0.00419,270118878.80000001
1556841600,0.00419,0.0044,0.00394,0.00423,279265819.69999999
1556928000,0.00423,0.00425,0.00381,0.00397,151436176.59999999
1557014400,0.00396,0.00406,0.00359,0.00372,161357630.80000001
1557100800,0.00371,0.00392,0.0035,0.00373,270695596.39999998
1557187200,0.00374,0.00385,0.00333,0.00336,172934704.90000001
1557273600,0.00335,0.00348,0.00328,0.00333,154227974.59999999
1557360000,0.00336,0.00341,0.00303,0.00314,211829251.90000001
1557446400,0.00313,0.00388,0.00312,0.00378,408703745.60000002
1557532800,0.00379,0.00505,0.00371,0.0046,688249967.79999995
1557619200,0.00462,0.00572,0.00444,0.0053,1166562752.9000001
1557705600,0.00529,0.0092,0.00516,0.00868,2877309846.0999999
1557792000,0.00864,0.0112,0.00718,0.0078,3861464345.0999999
1557878400,0.00777,0.01,0.00705,0.00956,1803273014.20000005
1557964800,0.00957,0.01205,0.00826,0.01087,2158935027.19999981
1558051200,0.01086,0.01507,0.00921,0.01455,4397262355.60000038
1558137600,0.01456,0.01489,0.01205,0.01235,1670915897.79999995
1558224000,0.01235,0.02069,0.01226,0.02018,2909833092.5999999
1558310400,0.02016,0.035,0.01833,0.0295,4959586016
1558396800,0.02937,0.045,0.02438,0.02953,7216196145.89999962
1558483200,0.0295,0.0317,0.0205,0.02209,4411472529.89999962
1558569600,0.02215,0.03401,0.02143,0.02739,5742350972.30000019
1558656000,0.02736,0.0287,0.02265,0.02529,2439816666.4000001
1558742400,0.02527,0.02835,0.02302,0.02475,2092787378.5999999
1558828800,0.02482,0.02725,0.02305,0.02419,1308601539.20000005
1558915200,0.02417,0.02478,0.02076,0.02235,1191302944.79999995
1559001600,0.02232,0.0254,0.02102,0.0238,1527919636.5999999
1559088000,0.02379,0.02487,0.02207,0.02212,860955448.60000002
1559174400,0.02213,0.0233,0.01824,0.01972,1037590833.5
1559260800,0.01972,0.02299,0.01939,0.02216,1075501624
1559347200,0.02216,0.02289,0.02067,0.02104,963080818.79999995
1559433600,0.02107,0.02221,0.01961,0.02012,514773376.30000001
